"Time [s]"	"X-Loc. [mm]"	"Energy [eu]"
669.836609	12.1137819	99.9997406
669.840515	12.2048626	65.7029572
669.971802	2.45919538	52.3436165
670.118103	1.45730472	23.3593159
670.137512	-0.0910731032	104.687233
670.19458	7.46865034	170.312057
670.2995	16.3035069	544.373596
670.442444	17.1232376	39.4920845
670.485657	13.0245905	57.031105
670.598877	15.1194534	239.06189
670.621704	13.3889151	17.6757355
670.627502	11.1118898	206.561966
670.669128	3.27892423	56.79673
671.126221	-0.637558281	40.312397
671.144592	9.47243214	57.7342262
671.173157	10.6564856	107.030975
671.325684	11.3851337	64.5310822
671.513367	12.6602669	452.49884
671.673096	21.6772861	24.0233765
671.835571	15.0283737	1226.24683
671.860474	4.55405855	44.2186356
671.861145	14.1175632	35.8592834
671.937317	16.8499928	49.9217453
672.155518	10.4743233	64.2967072
672.187134	20.402153	26.0936832
672.225891	7.83297443	104.530983
672.254089	17.3053989	23.4765015
672.335999	13.5710773	28.8280506
672.433655	-1.09296381	52.8904915
672.711975	14.3908062	233.124405
672.875549	12.3870239	68.1248245
673.032898	15.0283737	88.4372711
673.414001	6.2845974	34.8827248
673.506958	14.5729685	69.2966995
673.581909	14.6640491	24.6483746
673.638245	20.8575573	66.1717072
673.713257	16.5767498	388.123993
673.715576	11.2940521	376.874023
673.815674	21.1308002	40.624897
673.867737	2.73243809	22.9686909
673.906189	4.55405855	42.5780144
673.922974	17.7608013	40.937397
673.9599	15.1194534	172.812057
674.039307	10.2010794	41.8748932
674.244751	1.00189912	50.6248703
674.27594	8.74378395	34.4530373
674.337891	22.1326904	109.062218
674.410095	7.37756968	301.561737
674.418213	16.4856682	26.3671207
674.436218	16.0302639	88.5935211
674.534729	14.2086449	1042.49731
674.854431	1.54838526	74.9216843
674.938538	21.0397186	38.5936508
674.956848	8.37946033	160.624588
674.987366	10.9297276	30.1952343
675.061646	19.2180977	52.0311165
675.072937	13.2067528	304.061707
675.07782	11.9316196	3479.99121
675.223633	20.3110733	99.9997406
675.27655	6.10243511	33.0858536
675.322998	8.10621643	46.5623817
675.452576	20.2199898	49.2967491
675.489441	0.910818577	54.3748627
675.56665	14.2997255	268.124329
675.573608	21.4951248	33.5545998
675.621826	7.65081215	47.6561279
675.624634	11.1118898	448.12384
675.822754	13.5710773	57.10923
675.855347	-0.819720328	64.6092072
675.981262	2.09487128	46.3280067
676.113708	19.3091793	63.1248398
676.216919	15.3016167	67.8904495
676.253906	10.2010794	19.1601067
676.272705	14.0264816	954.997559
676.41217	2.91460013	424.373901
676.885254	20.2199898	18.9062023
676.909119	14.0264816	36.7186546
677.011841	14.4818869	61.4060936
677.352173	5.19162512	35.6639709
677.479065	9.74567509	84.3747864
677.4953	11.3851337	34.7264748
677.510315	2.45919538	65.1560822
677.588684	16.8499928	373.124054
677.629883	12.2048626	39.4920845
677.659546	4.64513922	61.7185936
677.706543	8.74378395	33.5545998
677.923035	6.10243511	39.687397
677.960266	15.757021	20559.9473
677.979919	12.8424292	131.718414
677.985657	15.3926964	34.1795998
677.991028	10.5654039	109.843468
678.074219	13.2978344	300.624237
678.077759	1.73054731	59.4529724
678.221558	17.3964806	28.9452381
678.351929	1.91270936	62.4217148
678.372314	6.01135445	26.6405563
678.422485	10.1099997	109.843468
678.51178	14.8462114	45.8592567
678.927795	14.1175632	52.4998665
679.081177	13.5710773	510.623688
679.373047	14.8462114	235.93689
679.554504	4.37189627	26.4452457
679.593628	17.032156	61.1717186
679.632202	17.4875603	134.999649
680.034302	4.09865332	34.5311623
680.086182	15.0283737	185.937027
680.129333	21.8594475	79.765419
680.205261	18.9448566	22.3436928
680.367676	11.1118898	27.9686775
680.401733	7.19540739	115.780952
680.463928	14.4818869	68.1248245
680.681396	1.54838526	71.2498169
680.815186	8.470541	69.1404495
680.934448	1.36622322	48.8279991
680.998779	13.3889151	18.3397961
681.044922	12.2048626	53.9842377
681.105652	14.1175632	119.530945
681.460815	15.3926964	41.0155182
681.599915	12.9335108	26.4452457
681.650513	-1.00188231	25.8202457
681.775391	0.72865653	28.2811775
681.798706	2.55027652	61.6404686
681.929871	19.6735039	51.8748665
682.151855	5.64703035	36.9139671
682.178345	15.6659412	207.811966
682.436829	13.2978344	367.499054
682.581787	13.2978344	23.3593159
682.626282	5.73811102	18.6718273
682.708252	16.9410744	41.5623932
682.761902	10.292161	164.687073
682.812195	9.10810852	88.7497711
682.839233	10.7475662	80.156044
682.937927	17.2143173	26.6014938
682.984558	16.7589111	53.7498627
682.98877	1.45730472	45.5467567
683.125061	10.8386478	21.8749447
683.190796	19.9467468	76.8748016
683.28772	7.19540739	19.9022923
683.333862	15.3016167	209.686966
683.343628	9.19918919	238.74939
683.456238	11.9316196	129.843414
683.994019	18.3983707	140.624634
684.108765	12.2048626	102.968483
684.304077	13.4799967	139.999649
684.37439	7.92405558	92.6560135
684.406982	16.3035069	34.6874123
684.455444	9.65459442	25.1952477
684.694092	15.757021	31.953043
684.99707	9.5635128	381.249023
685.005737	15.1194534	144.218384
685.093628	3.73432922	21.4061947
685.172424	6.19351625	43.3592644
685.288208	12.2048626	204.686981
685.463074	10.1099997	17.4413624
685.519958	0.72865653	65.3123322
685.541321	18.1251278	43.8280144
685.590698	12.9335108	234.999405
685.85022	13.3889151	130.312164
685.889343	2.18595195	30.1561737
686.084717	14.1175632	1837.49524
686.242859	1.91270936	33.2030411
686.297729	13.2978344	19.1210442
686.353821	-1.54836845	386.249023
686.444153	3.27892423	13.8866835
686.632507	16.8499928	374.999054
686.863342	15.5748596	110.780968
686.86676	15.9391832	123.90593
686.940247	11.6583757	47.0311279
687.016296	6.2845974	37.2264671
687.162292	16.0302639	188.749512
687.169006	3.27892423	28.7108631
687.201721	16.3035069	119.530945
687.260498	13.0245905	171.249557
687.427124	7.01324558	53.3592377
687.576172	12.9335108	405.623962
687.620239	9.65459442	35.9374084
687.628052	21.5862064	27.1874313
687.97168	10.8386478	49.2186241
687.978943	17.5786419	41.9530182
688.036682	13.2067528	33.6327248
688.046326	12.9335108	25.1561852
688.286499	14.8462114	34.2577248
688.871887	21.22188	53.6717377
688.937073	1.36622322	51.0154953
688.957275	14.2086449	73.2029343
688.990967	15.3016167	189.062012
689.049255	4.2808156	28.7889881
689.155029	20.402153	186.249527
689.303711	1.45730472	35.2342834
689.504333	13.4799967	29.9999237
689.745667	12.9335108	42.4217682
689.785522	12.8424292	507.498688
689.836853	13.3889151	44.0623856
689.868164	13.935401	92.9685135
690.099854	11.9316196	52.5779915
690.189575	14.6640491	24.9218121
690.430725	10.4743233	120.780937
690.648987	15.210535	106.405975
690.846863	12.6602669	27.5389919
690.89032	10.292161	419.998932
691.087585	16.5767498	98.7497482
691.145874	12.5691862	22.2655678
691.241455	13.2978344	285.936768
691.384216	4.37189627	107.968475
691.410767	7.28648806	14.8827744
691.438293	10.5654039	62.4998398
692.216858	8.10621643	114.999702
692.296326	13.662159	184.374527
692.443237	11.3851337	102.187241
692.554016	9.83675671	39.3358383
692.770264	14.6640491	1564.99597
692.860657	16.3035069	51.0936203
692.943665	21.4951248	20.7811966
693.041199	10.5654039	161.874588
693.137024	18.2162075	26.9139938
693.217407	18.5805321	36.4452209
693.333557	18.3072891	35.0389709
693.372559	22.0416107	156.562103
693.412476	11.840538	86.8747787
693.725464	11.6583757	426.248901
693.869202	14.8462114	76.2498016
693.921875	21.0397186	43.2811394
693.982361	15.8481016	117.968445
694.080322	15.210535	198.749496
694.104614	14.5729685	267.811829
694.14093	10.292161	20.1561985
694.165771	14.5729685	33.7108498
694.472595	4.2808156	102.655991
694.515198	11.6583757	94.0622559
694.540405	11.1118898	164.999573
694.620605	13.8443203	131.562164
694.809631	12.3870239	88.1247711
694.881775	7.46865034	117.655952
695.070068	1.91270936	40.234272
695.141174	1.09298062	32.1874161
695.669006	21.4040432	16.1913643
695.674072	15.210535	76.1716766
695.722473	11.9316196	165.312073
696.100647	5.46486807	144.530884
696.141418	16.9410744	52.8123665
696.252441	2.64135742	63.2810898
696.264771	13.8443203	33.3202286
696.283813	7.28648806	56.17173
696.385925	-1.45728791	74.6873093
696.502686	14.6640491	63.984211
696.54541	8.19729805	535.623657
696.650757	4.2808156	34.6092873
697.002625	13.3889151	113.59346
697.115479	13.3889151	215.311951
697.277222	8.28837872	57.5779762
697.516357	16.2124252	147.030869
697.61792	8.28837872	149.687119
697.900818	12.8424292	169.687073
697.937134	10.1099997	97.6559982
697.9552	11.6583757	952.497559
698.355103	12.8424292	29.1796131
698.690491	14.1175632	61.7185936
698.894165	5.10054398	19.3554192
698.953186	11.5672951	60.3123474
699.014771	11.840538	30.0780487
699.14856	20.0378284	248.436859
699.238464	13.2067528	110.624718
699.543091	20.5843143	70.9373169
699.627197	8.10621643	18.7108898
699.635803	11.5672951	139.062149
699.647461	8.470541	46.3280067
699.817505	12.1137819	56.406105
699.84198	9.29027081	181.249542
700.006897	17.9429646	69.2185745
700.53894	9.19918919	27.7733669
700.729492	13.4799967	117.655952
700.816223	16.0302639	87.8122787
700.95575	11.9316196	55.7811089
700.957886	21.0397186	33.2030411
701.080505	10.8386478	51.2498703
701.233826	13.4799967	51.4061203
701.301208	12.6602669	80.624794
701.30719	15.757021	37.8905296
701.622314	7.19540739	483.748749
701.788086	5.55594921	86.7185287
701.950073	12.3870239	78.9060516
702.183594	14.3908062	35.7030334
702.316345	9.47243214	190.937012
702.4729	3.37000513	30.7811718
702.720642	3.27892423	69.8435745
702.753723	8.470541	79.218544
702.860596	2.64135742	46.4842567
703.001831	13.4799967	128.437164
703.132385	12.1137819	149.687119
703.194885	4.37189627	68.9841995
703.208862	5.82919216	24.3358746
703.429871	15.3016167	598.123474
703.720215	13.4799967	55.2342339
703.763672	11.3851337	57.4998512
703.855103	11.3851337	19.6874504
704.292786	11.4762144	68.0466995
704.307129	14.6640491	34.8827248
704.367554	16.6678314	45.1561356
704.467529	14.0264816	123.593437
704.481262	19.3091793	116.874702
704.633972	10.4743233	58.4373512
705.143311	10.8386478	120.155945
705.270508	18.3983707	31.1327324
705.286804	2.27703333	30.4296093
705.479004	18.4894505	15.1757421
705.598022	16.0302639	24.9608727
705.830872	14.4818869	124.06218
705.881897	5.46486807	38.5155258
705.906616	13.2978344	88.1247711
705.921997	14.9372931	54.3748627
706.106995	15.3926964	42.4998894
706.108276	13.2067528	43.9061394
706.131104	-1.27512586	28.63274
706.27356	9.10810852	49.2967491
706.418823	3.73432922	51.7967415
706.575134	4.46297741	34.1405373
706.698608	7.92405558	33.3202286
706.888977	15.210535	95.4685059
706.906006	6.8310833	30.0780487
706.932617	17.1232376	23.7108765
707.028992	17.2143173	191.249512
707.224243	14.2086449	67.7341995
707.285339	11.9316196	51.1717453
707.482117	14.1175632	105.468483
707.867493	6.74000216	45.9373817
707.949646	4.8273015	27.3436794
708.377075	11.6583757	266.249329
708.468079	15.6659412	97.4997482
708.614441	14.2086449	231.561905
709.021667	15.0283737	553.748596
709.165344	22.223772	48.8279991
709.243469	-0.364315689	54.4529839
709.37793	17.6697216	44.6092606
709.586487	9.29027081	38.4764633
709.634705	9.5635128	215.624451
709.766235	12.2048626	169.374573
709.772827	11.9316196	85.6247787
710.036011	2.55027652	78.6716766
710.188904	15.5748596	136.874649
710.19812	17.3053989	71.2498169
710.201965	12.6602669	892.497742
710.263367	11.6583757	104.999733
710.521118	14.4818869	414.373932
710.722534	4.37189627	65.8592072
710.75708	10.6564856	80.781044
711.134521	20.7664757	21.1718216
711.142944	19.3091793	32.8905411
711.153076	7.83297443	20.6640091
711.354004	12.5691862	168.749573
711.399536	14.7551298	65.7029572
711.700928	11.5672951	61.7185936
711.883179	12.6602669	112.34346
711.998047	14.9372931	22.2265053
712.168091	13.3889151	50.5467453
712.187134	15.483778	72.1873169
712.307068	2.64135742	36.9530296
712.463135	10.018919	201.561981
712.643494	13.662159	19.9999485
712.779358	16.2124252	123.90593
712.869507	14.6640491	132.812164
712.988831	12.8424292	560.623535
713.057434	16.5767498	44.9217606
713.139404	17.3964806	129.999664
713.202942	11.7494574	172.499557
713.354492	10.4743233	223.74942
713.425415	0.182170421	19.3944817
713.715149	12.6602669	43.8280144
713.760132	12.1137819	75.7029343
713.768921	16.5767498	114.21846
713.876465	14.4818869	104.374733
714.350647	12.3870239	94.0622559
714.358337	15.1194534	72.1873169
714.684814	13.8443203	79.452919
714.748657	3.73432922	41.5623932
714.759521	7.65081215	65.7810822
715.174255	12.2959423	499.373718
715.245178	14.6640491	211.874451
715.53717	12.6602669	83.4372864
715.56604	17.8518829	23.671814
715.629333	19.8556671	47.0311279
715.69165	1.45730472	25.6249352
716.059204	11.7494574	26.6014938
716.096558	13.5710773	333.749146
716.182678	17.3053989	56.562355
716.250244	2.45919538	49.9217453
716.514343	15.9391832	59.5310974
716.960388	12.5691862	105.780983
717.007141	12.8424292	37.8124046
717.70282	11.9316196	64.6873322
717.714111	16.3035069	107.655975
718.971252	22.223772	26.0936832
719.27002	4.00757217	33.4764786
719.580933	12.3870239	102.812241
719.836792	10.2010794	353.749084
720.062561	-0.546477735	123.124687
720.168884	15.0283737	26.2889957
720.417542	13.5710773	52.3436165
720.444336	7.65081215	36.7186546
720.458679	14.3908062	53.0467377
720.750732	2.91460013	49.1404991
720.757385	16.0302639	301.874237
720.91626	14.8462114	42.8905144
721.527771	12.2048626	164.374573
721.584656	18.1251278	133.905914
721.652344	15.3926964	65.4685822
721.79718	13.2067528	50.0779953
721.878296	14.3908062	131.874664
721.925903	15.3926964	214.061951
721.945129	14.6640491	336.249146
721.984253	15.3016167	220.311935
722.144531	18.2162075	59.2967224
722.177612	9.10810852	77.3435516
722.378174	14.2997255	102.968483
722.47467	11.0208092	139.374649
722.556152	9.19918919	24.140564
722.564514	13.1156721	21.2108841
722.58374	3.46108627	43.2030144
722.68927	10.292161	566.248535
722.758118	14.6640491	37.3436546
722.78833	14.7551298	52.3436165
722.860962	2.91460013	22.5390053
723.017334	17.4875603	77.1873016
723.166748	15.210535	84.8435364
723.224548	8.65270329	37.3045921
723.356445	9.74567509	32.0702286
723.51947	12.4781055	89.8435211
723.602844	9.83675671	54.2967377
723.650024	13.5710773	62.3435898
723.65387	2.09487128	31.2889824
723.720276	8.74378395	24.140564
723.765808	2.45919538	101.874741
723.965881	6.19351625	83.5935364
724.241394	19.9467468	75.2341843
724.267273	5.28270626	49.9998703
724.288879	14.1175632	72.0310669
